slide_id,anchor,wikipedia_concept,url,secondary concepts,already seen,another langage,Image_based,nothing found,nothing relative to the course,Comment
48,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,,,
49,relation,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,True,,,,,
49,table,Relation binaire,https://fr.wikipedia.org/wiki/Relation_binaire,,,,,True,,mauvais choix de terme par l’auteur ? tableau à deux entrées
49,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,True,,,,,
50,langage,Langage mathématique,https://fr.wikipedia.org/wiki/Langage_math%C3%A9matique,,,,,,,
51,langage,Langage mathématique,https://fr.wikipedia.org/wiki/Langage_math%C3%A9matique,,True,,,,,
51,logique des prédicats,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,,,,,,
52,logique du premier ordre,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,True,,,,,
52,quantificateur,Quantificateur (logique),https://fr.wikipedia.org/wiki/Quantificateur_(logique),,,,,,,
52,opérateurs  (et)  (ou)   (non),Connecteur logique,https://fr.wikipedia.org/wiki/Connecteur_logique,,,,,,,
52,appartenance,Appartenance (mathématiques),https://fr.wikipedia.org/wiki/Appartenance_(math%C3%A9matiques),,,,,,,
52,implication,Implication (logique),https://fr.wikipedia.org/wiki/Implication_(logique),,,,,,,
53,premier ordre,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,True,,,,,
53,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,,,
54,propriété,Propriété (philosophie),https://fr.wikipedia.org/wiki/Propri%C3%A9t%C3%A9_(philosophie),,True,,,,,
54,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,True,,,,,
54,universelle,Quantificateur (logique),https://fr.wikipedia.org/wiki/Quantificateur_(logique)#Quantification_universelle,,,,,,,Des titres de sections répondent au besoin Quantification universelle
54,existentielle,Quantification existentielle,https://fr.wikipedia.org/wiki/Quantification_existentielle,,,,,,,
55,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,True,,,,,
57,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,True,,,,,
59,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,True,,,,,
59,cardinal,Cardinalité (mathématiques),https://fr.wikipedia.org/wiki/Cardinalit%C3%A9_(math%C3%A9matiques),,,,,,,
63,logique du premier ordre,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,True,,,,,
63,propriété,Propriété (philosophie),https://fr.wikipedia.org/wiki/Propri%C3%A9t%C3%A9_(philosophie),,,,,,,
63,calcul booléen,Algèbre de Boole (logique),https://fr.wikipedia.org/wiki/Alg%C3%A8bre_de_Boole_(logique),,,,,,,
63,quantificateur,Quantificateur (logique),https://fr.wikipedia.org/wiki/Quantificateur_(logique),,True,,,,,
