slide_id,anchor,wikipedia_concept,url,where,use,Out-of-domain,same_word,
14,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
15,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
15,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,
15,Effet du petit monde,Étude du petit monde,https://fr.wikipedia.org/wiki/%C3%89tude_du_petit_monde,,,,,
15,fouille de données,Exploration de données ,https://fr.wikipedia.org/wiki/Exploration_de_donn%C3%A9es,,,,,
15,google,Google,https://fr.wikipedia.org/wiki/Google,,,,,
16,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
16,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,
16,relations,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,
17,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
17,relations,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,
18,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
18,graphes,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,graphe,
20,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,
20,simuler,Simulation,https://fr.wikipedia.org/wiki/Simulation,,,,simulation,
20,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
21,modèle mathématique,Modèle mathématique,https://fr.wikipedia.org/wiki/Mod%C3%A8le_math%C3%A9matique,,,,,
21,graphes,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,graphe,
21,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,
21,simulation,Simulation,https://fr.wikipedia.org/wiki/Simulation,,,,,
22,graphes,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,
22,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
23,théorie de l’information,Théorie de l’information,https://fr.wikipedia.org/wiki/Th%C3%A9orie_de_l%27information,,,,,
23,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
23,capital social,Capital social,https://fr.wikipedia.org/wiki/Capital_social,,,,,
24,capital social,Capital social,https://fr.wikipedia.org/wiki/Capital_social,,,,,
24,réseau informatique,Réseau informatique,https://fr.wikipedia.org/wiki/R%C3%A9seau_informatique,,,,,
24,facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,,,,,
25,théorie des graphes,Théorie des graphes,https://fr.wikipedia.org/wiki/Th%C3%A9orie_des_graphes,,,,,
25,clique,Clique (théorie des graphes),https://fr.wikipedia.org/wiki/Clique_(th%C3%A9orie_des_graphes),,,,,
25,connexité,Connexité,https://fr.wikipedia.org/wiki/Connexit%C3%A9,,,,,
25,coupes du graphe,Coupe (théorie des graphes),https://fr.wikipedia.org/wiki/Coupe_(th%C3%A9orie_des_graphes),,,,,
27,non orienté,Graphe non orienté,https://fr.wikipedia.org/wiki/Graphe_non_orient%C3%A9,,,,,
27,boucles,Boucle (théorie des graphes),https://fr.wikipedia.org/wiki/Boucle_(th%C3%A9orie_des_graphes),,,,,
27,mathématiques discrètes,Mathématiques discrètes,https://fr.wikipedia.org/wiki/Math%C3%A9matiques_discr%C3%A8tes,,,,,
29,graphe orienté,Graphe orienté,https://fr.wikipedia.org/wiki/Graphe_orient%C3%A9,,,,,
31,isomorphisme de graphes,Problème de l'isomorphisme de graphes,https://fr.wikipedia.org/wiki/Probl%C3%A8me_de_l%27isomorphisme_de_graphes,,,,,
31,bijections,Bijection,https://fr.wikipedia.org/wiki/Bijection,,,,,
32,Isomorphes,Isomorphisme de graphes,https://fr.wikipedia.org/wiki/Isomorphisme_de_graphes,,,,,
33,heuristiques,Heuristique (mathématiques),https://fr.wikipedia.org/wiki/Heuristique_(math%C3%A9matiques),,,,,
38,maillage,Maillage (structure de données),https://fr.wikipedia.org/wiki/Maillage_(structure_de_donn%C3%A9es),,,,maillages,
41,graphes,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,
41,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
41,sites web,Site web,https://fr.wikipedia.org/wiki/Site_web,,,,,
44,relation,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,
46,tableur,Tableur,https://fr.wikipedia.org/wiki/Tableur,,,,,
47,matrice,Matrice (mathématiques),https://fr.wikipedia.org/wiki/Matrice_(math%C3%A9matiques),,,,"calcul matriciel, matrices"
50,langage,Langage,https://fr.wikipedia.org/wiki/Langage,,,,,
51,logique des prédicats,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,,,,
52,logique du premier ordre,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,,,,
52,opérateurs,Opérateur (symbole),https://fr.wikipedia.org/wiki/Op%C3%A9rateur_(symbole),,,,,
52,quantificateurs,Quantificateur (logique),https://fr.wikipedia.org/wiki/Quantificateur_(logique),,,,,
52,appartenance,Appartenance (mathématiques),https://fr.wikipedia.org/wiki/Appartenance_(math%C3%A9matiques),,,,,
52,implication,Implication (logique),https://fr.wikipedia.org/wiki/Implication_(logique),,,,,
53,ensembles,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,
54,universelle,Universal quantification,https://en.wikipedia.org/wiki/Universal_quantification,,,,,
54,existentielle,Quantification existentielle,https://fr.wikipedia.org/wiki/Quantification_existentielle,,,,,
55,relation,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,
55,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,
55,langue naturelle,Langage naturel,https://fr.wikipedia.org/wiki/Langage_naturel#R%C3%A9f%C3%A9rences,,,,,
56,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,
56,algorithmique,Algorithmique,https://fr.wikipedia.org/wiki/Algorithmique,,,,algorithme/algo,
57,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,
57,français,Langage naturel,https://fr.wikipedia.org/wiki/Langage_naturel#R%C3%A9f%C3%A9rences,,,,,
57,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,
58,relation de symétrie,Relation symétrique,https://fr.wikipedia.org/wiki/Relation_sym%C3%A9trique,,,,,
59,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,
60,algo,Algorithme,https://fr.wikipedia.org/wiki/Algorithme,,,,,
61,implication,Implication (logique),https://fr.wikipedia.org/wiki/Implication_(logique),,,,,
61,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,
62,implication,Implication (logique),https://fr.wikipedia.org/wiki/Implication_(logique),,,,,
63,logique du premier ordre,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,,,,
63,calcul booléen,Algèbre de Boole (logique),https://fr.wikipedia.org/wiki/Alg%C3%A8bre_de_Boole_(logique),,,,,
63,algorithmique,Algorithmique,https://fr.wikipedia.org/wiki/Algorithmique,,,,,
63,quantificateurs,Quantificateur (logique),https://fr.wikipedia.org/wiki/Quantificateur_(logique),,,,,
63,ensembles,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,
63,intelligence artificielle,intelligence artificielle,https://fr.wikipedia.org/wiki/Intelligence_artificielle,,,,,
63,logique modale,Logique modale,https://fr.wikipedia.org/wiki/Logique_modale,,,,,
64,relation,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,
64,ensembles,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,Sous-ensembles,
64,clique,Clique (théorie des graphes),https://fr.wikipedia.org/wiki/Clique_(th%C3%A9orie_des_graphes),,,,,
64,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,
