"slide","anchor","wikipedia concept","url","slide-focus","Image-based","where","use","out-of-domain","Comment"
"6","Expressions rationnelles","Expression régulière","https://en.wikipedia.org/wiki/Expression_(computer_science)","True","false","fr","now","false",""
"6","Automates à états finis","Automate fini","https://fr.wikipedia.org/wiki/Automate_fini","True","false","fr","now","false",""
"7","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"7","loi de Zipf ","Loi de Zipf","https://fr.wikipedia.org/wiki/Loi_de_Zipf","True","false","fr","now","false",""
"8","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"9","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"9","tri","Algoritme de tri","https://fr.wikipedia.org/wiki/Algorithme_de_tri","True","false","fr","now","false",""
"10","ASCII","American Standard Code for Information Interchange","https://fr.wikipedia.org/wiki/American_Standard_Code_for_Information_Interchange","True","false","en","now","True",""
"10","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"12","ISO","Organisation internationale de normalisation","https://fr.wikipedia.org/wiki/Organisation_internationale_de_normalisation","True","false","fr","now","True",""
"12","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"13","UNICODE","Unicode","https://fr.wikipedia.org/wiki/Unicode","True","false","fr","now","True",""
"13","consortium","Consortium","https://en.wikipedia.org/wiki/Consortium","True","false","fr","now","True",""
"13","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"13","IEC","International Electronical Commission","https://en.wikipedia.org/wiki/International_Electrotechnical_Commission","True","false","en","now","True",""
"13","octets","Octet","https://fr.wikipedia.org/wiki/Octet","True","false","fr","now","True",""
"14","UTF8","UTF-8","https://en.wikipedia.org/wiki/UTF-8","True","false","en","now","True",""
"14","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"15","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"15","Codage des caractères d'Unicode","Codage des caractères","https://fr.wikipedia.org/wiki/Codage_des_caract%C3%A8res","True","false","fr","now","True",""
"16","LINUX","Linux","https://fr.wikipedia.org/wiki/Linux","True","false","fr","now","True",""
"16","Conversion","Conversion","https://fr.wikipedia.org/wiki/Conversion","True","false","fr","now","True",""
"17","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"17","séparateur de mot","Séparateur de mots","https://fr.wikipedia.org/wiki/S%C3%A9parateur_de_mots","True","false","fr","now","True",""
"19","Fréquence","Fréquence","https://fr.wikipedia.org/wiki/Fr%C3%A9quence","True","false","fr","now","True",""
"19","Hapax","Hapax","https://fr.wikipedia.org/wiki/Hapax","True","false","fr","now","True",""
"19","Tris","Algoritme de tri","https://fr.wikipedia.org/wiki/Algorithme_de_tri","True","false","fr","now","false",""
"20","loi de Zipf ","Loi de Zipf","https://fr.wikipedia.org/wiki/Loi_de_Zipf","True","false","fr","now","false",""
"20","Fréquence","Fréquence","https://fr.wikipedia.org/wiki/Fr%C3%A9quence","True","false","fr","now","True",""
"21","loi de Zipf ","Loi de Zipf","https://fr.wikipedia.org/wiki/Loi_de_Zipf","True","false","fr","now","True",""
"20","Fréquence","Fréquence","https://fr.wikipedia.org/wiki/Fr%C3%A9quence","True","false","fr","now","false",""
"22","Rang","Rang","https://fr.wikipedia.org/wiki/Rang","True","false","fr","now","false",""
"31","Recherche de motifs","Filtrage par motif","https://fr.wikipedia.org/wiki/Filtrage_par_motif","True","false","fr","now","false",""
"32","Recherche de motifs","Filtrage par motif","https://fr.wikipedia.org/wiki/Filtrage_par_motif","True","false","fr","now","false",""
"32","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"32","Automates à états finis","Automate fini","https://fr.wikipedia.org/wiki/Automate_fini","True","false","fr","now","false",""
"33","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"33","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"33","Langage formel","Langage formel","https://fr.wikipedia.org/wiki/Langage_formel","True","false","fr","now","false",""
"33","Caractère littéral/Méta-caractères","Classes de caractères","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re#Classe_de_caract%C3%A8res","True","false","fr","now","false",""
"33","Classes de caractères","Classes de caractères","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re#Classe_de_caract%C3%A8res","True","false","fr","now","false",""
"34","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"34","Perl","Perl","https://fr.wikipedia.org/wiki/Perl","True","false","fr","now","false",""
"34","JavaScript","JavaScript","https://fr.wikipedia.org/wiki/JavaScript","True","false","fr","now","false",""
"34","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"35","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"35","caractères","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"35","intervalle","Intervalle","https://fr.wikipedia.org/wiki/Intervalle","True","false","fr","now","false",""
"36","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"37","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"37","Quantificateurs","Quantificateur(logique)","https://fr.wikipedia.org/wiki/Quantificateur_(logique)","True","false","fr","now","True",""
"38","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"38","Quantificateurs","Quantificateur(logique)","https://fr.wikipedia.org/wiki/Quantificateur_(logique)","True","false","fr","now","True",""
"38","occurences","Occurence","https://fr.wikipedia.org/wiki/Occurrence","True","false","fr","now","True",""
"39","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"39","caractère","Caractère(informatique)","https://fr.wikipedia.org/wiki/Caract%C3%A8re_(informatique)","True","false","fr","now","True",""
"41","Faux positifs","Faux positif","https://fr.wikipedia.org/wiki/Faux_positif","True","false","fr","now","false",""
"41","Faux négatifs","Faux négatif","https://fr.wikipedia.org/wiki/Faux_n%C3%A9gatif","True","false","fr","now","false",""
"45","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"46","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"47","Automates à états finis","Automate fini","https://fr.wikipedia.org/wiki/Automate_fini","True","false","fr","now","false",""
"47","Expressions régulières","Expression régulière","https://fr.wikipedia.org/wiki/Expression_r%C3%A9guli%C3%A8re","True","false","fr","now","false",""
"47","Langage naturel","Langage naturel","https://fr.wikipedia.org/wiki/Langage_naturel","True","false","fr","now","false",""
"48","Automates à états finis","Automate fini","https://fr.wikipedia.org/wiki/Automate_fini","True","false","fr","now","false",""
"48","Langage naturel","Langage naturel","https://fr.wikipedia.org/wiki/Langage_naturel","True","false","fr","now","false",""
"50","Automates à états finis","Automate fini","https://fr.wikipedia.org/wiki/Automate_fini","True","false","fr","now","false",""
"52","Reconnaissance ","Reconnaissance de formes","https://fr.wikipedia.org/wiki/Reconnaissance_de_formes","True","false","fr","now","True",""
"55","Reconnaissance ","Reconnaissance de formes","https://fr.wikipedia.org/wiki/Reconnaissance_de_formes","True","false","fr","now","True",""
